m1_surv,m2_surv
0.80618,0.92069
0.80531,0.92069
0.80443,0.92069
0.80356,0.92069
0.80269,0.92069
0.80182,0.92001
0.80095,0.92001
0.80008,0.92001
0.79922,0.92001
0.79835,0.92001
0.79748,0.92001
0.79662,0.92001
0.79576,0.92001
0.79489,0.92001
0.79403,0.91933
0.79317,0.91933
0.79231,0.91933
0.79145,0.91865
0.7906,0.91865
0.78974,0.91797
0.78888,0.91797
0.78803,0.91797
0.78717,0.91797
0.78632,0.91797
0.78547,0.91797
0.78462,0.91729
0.78377,0.91661
0.78292,0.91661
0.78207,0.91661
0.78122,0.91661
0.78037,0.91661
0.77953,0.91661
0.77868,0.91661
0.77784,0.91661
0.777,0.91661
0.77615,0.91661
0.77531,0.91661
0.77447,0.91661
0.77363,0.91592
0.77279,0.91592
0.77196,0.91524
0.77112,0.91524
0.77028,0.91524
0.76945,0.91387
0.76862,0.91387
0.76778,0.91387
0.76695,0.91387
0.76612,0.91387
0.76529,0.91387
0.76447,0.91387
0.76365,0.91387
0.76283,0.91387
0.76201,0.91387
0.7612,0.91387
0.76038,0.91387
0.75957,0.91387
0.75876,0.91318
0.75796,0.91318
0.75715,0.91318
0.75635,0.9125
0.75555,0.9125
0.75476,0.9125
0.75396,0.9125
0.75317,0.9125
0.75239,0.9125
0.7516,0.9125
0.75082,0.9125
0.75004,0.9125
0.74926,0.9125
0.74849,0.9125
0.74771,0.9125
0.74694,0.9125
0.74617,0.9125
0.74541,0.9125
0.74465,0.9125
0.74388,0.9125
0.74312,0.9125
0.74237,0.91181
0.74161,0.91181
0.74086,0.91112
0.74011,0.91112
0.73937,0.91112
0.73862,0.91112
0.73788,0.91112
0.73714,0.91043
0.7364,0.91043
0.73567,0.91043
0.73493,0.91043
0.7342,0.91043
0.73347,0.91043
0.73275,0.91043
0.73202,0.91043
0.7313,0.91043
0.73058,0.91043
0.72986,0.91043
0.72914,0.91043
0.72843,0.91043
0.72772,0.91043
0.72701,0.91043
0.7263,0.90906
0.7256,0.90906
0.72489,0.90906
0.72419,0.90906
0.72349,0.90906
0.7228,0.90906
0.7221,0.90906
0.72141,0.90906
0.72072,0.90906
0.72004,0.90837
0.71935,0.90837
0.71867,0.90837
0.71799,0.90768
0.71731,0.90699
0.71664,0.90699
0.71596,0.90629
0.71528,0.90629
0.71461,0.90629
0.71393,0.90629
0.71326,0.90629
0.71258,0.90629
0.71191,0.90629
0.71124,0.90629
0.71056,0.90629
0.70989,0.90629
0.70922,0.90629
0.70855,0.90629
0.70788,0.90629
0.70721,0.90629
0.70655,0.90629
0.70588,0.90629
0.70521,0.90629
0.70454,0.90629
0.70388,0.90629
0.70321,0.9056
0.70255,0.9056
0.70189,0.9056
0.70122,0.9056
0.70056,0.9056
0.6999,0.9056
0.69924,0.9056
0.69858,0.9056
0.69792,0.9056
0.69726,0.9056
0.6966,0.90491
0.69594,0.90491
0.69528,0.90491
0.69462,0.90491
0.69397,0.90491
0.69331,0.90491
0.69266,0.90353
0.692,0.90353
0.69135,0.90353
0.6907,0.90283
0.69004,0.90283
0.68939,0.90283
0.68874,0.90283
0.68809,0.90283
0.68744,0.90283
0.68679,0.90283
0.68614,0.90283
0.68549,0.90283
0.68484,0.90283
0.6842,0.90283
0.68355,0.90283
0.68291,0.90283
0.68226,0.90283
0.68162,0.90283
0.68097,0.90283
0.68033,0.90283
0.67968,0.90283
0.67904,0.90283
0.6784,0.90283
0.67776,0.90283
0.67712,0.90283
0.67648,0.90214
0.67584,0.90214
0.6752,0.90214
0.67456,0.90214
0.67393,0.90214
0.67329,0.90214
0.67265,0.90214
0.67202,0.90214
0.67138,0.90075
0.67075,0.90075
0.67012,0.90075
0.66948,0.90075
0.66885,0.90075
0.66822,0.90075
0.66759,0.90006
0.66696,0.90006
0.66633,0.90006
0.6657,0.90006
0.66507,0.90006
0.66444,0.90006
0.66381,0.90006
0.66318,0.90006
0.66256,0.90006
0.66193,0.90006
0.66131,0.90006
0.66068,0.90006
0.66006,0.90006
0.65943,0.90006
0.65881,0.90006
0.65819,0.90006
0.65757,0.90006
0.65694,0.90006
0.65632,0.89936
0.6557,0.89936
0.65508,0.89936
0.65446,0.89936
0.65385,0.89936
0.65323,0.89936
0.65261,0.89936
0.65199,0.89936
0.65138,0.89936
0.65076,0.89936
0.65015,0.89936
0.64953,0.89936
0.64892,0.89936
0.64831,0.89936
0.64769,0.89936
0.64708,0.89936
0.64647,0.89936
0.64586,0.89936
0.64525,0.89936
0.64464,0.89936
0.64403,0.89936
0.64342,0.89936
0.64282,0.89936
0.64221,0.89936
0.6416,0.89936
0.641,0.89936
0.64039,0.89936
0.63978,0.89936
0.63918,0.89936
0.63858,0.89936
