"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.5693,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73347,0.91043,0.58292,0.9203
"410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.5693,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73275,0.91043,0.58226,0.9203
"411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56627,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73202,0.91043,0.5816,0.9203
"412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56627,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7313,0.91043,0.58094,0.9203
"413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56557,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73058,0.91043,0.58028,0.92014
"414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56488,0.91541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72986,0.91043,0.57962,0.92014
"415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56373,0.9151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72914,0.91043,0.57896,0.91998
"416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.5626,0.9151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72843,0.91043,0.5783,0.91998
"417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.56108,0.9151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72772,0.91043,0.57764,0.91998
"418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92576,0.55857,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72701,0.91043,0.57699,0.91982
"419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55857,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7263,0.90906,0.57633,0.91982
"420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55414,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7256,0.90906,0.57568,0.91982
"421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55299,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72489,0.90906,0.57502,0.91982
"422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55074,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72419,0.90906,0.57437,0.91982
"423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55074,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72349,0.90906,0.57372,0.91982
"424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55074,0.91479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7228,0.90906,0.57306,0.91982
"425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.55074,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7221,0.90906,0.57241,0.91966
"426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.54881,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72141,0.90906,0.57176,0.91966
"427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92413,0.54547,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72072,0.90906,0.57111,0.9195
"428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.9225,0.54547,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72004,0.90837,0.57046,0.9195
"429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.9225,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71935,0.90837,0.56982,0.9195
"430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.9225,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71867,0.90837,0.56917,0.9195
"431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92086,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71799,0.90768,0.56852,0.9195
"432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92086,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71731,0.90699,0.56788,0.9195
"433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.92086,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71664,0.90699,0.56723,0.9195
"434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.91921,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71596,0.90629,0.56659,0.9195
"435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.91921,0.54367,0.91448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71528,0.90629,0.56594,0.9195
"436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.91921,0.54233,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71461,0.90629,0.5653,0.9195
"437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.91921,0.54233,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71393,0.90629,0.56466,0.9195
"438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80721,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71326,0.90629,0.56402,0.9195
"439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80192,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71258,0.90629,0.56337,0.9195
"440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80192,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71191,0.90629,0.56273,0.91934
"441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79302,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71124,0.90629,0.56209,0.91934
"442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78836,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71056,0.90629,0.56146,0.91934
"443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77567,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70989,0.90629,0.56082,0.91934
"444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77567,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70922,0.90629,0.56018,0.91934
"445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77567,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70855,0.90629,0.55954,0.91918
"446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70788,0.90629,0.55891,0.91902
"447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70721,0.90629,0.55827,0.91902
"448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.54073,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70655,0.90629,0.55764,0.91902
"449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70588,0.90629,0.55701,0.91902
"450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70521,0.90629,0.55637,0.91871
"451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70454,0.90629,0.55574,0.91855
"452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70388,0.90629,0.55511,0.91839
"453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70321,0.9056,0.55448,0.91839
"454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70255,0.9056,0.55385,0.91839
"455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7699,0.91921,0.53641,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70189,0.9056,0.55322,0.91839
"456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53542,0.91386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70122,0.9056,0.55259,0.91839
"457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53411,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70056,0.9056,0.55196,0.91807
"458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53118,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6999,0.9056,0.55134,0.91807
"459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53118,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69924,0.9056,0.55071,0.91807
"460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53118,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69858,0.9056,0.55009,0.91807
"461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.53118,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69792,0.9056,0.54946,0.91807
"462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52967,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69726,0.9056,0.54884,0.91807
"463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52856,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6966,0.90491,0.54821,0.91807
"464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52709,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69594,0.90491,0.54759,0.91807
"465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69528,0.90491,0.54697,0.91791
"466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69462,0.90491,0.54635,0.91791
"467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69397,0.90491,0.54573,0.91791
"468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69331,0.90491,0.54511,0.91775
"469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69266,0.90353,0.54449,0.91775
"470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692,0.90353,0.54387,0.91775
"471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69135,0.90353,0.54325,0.91743
"472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6907,0.90283,0.54263,0.91727
"473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69004,0.90283,0.54202,0.91727
"474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68939,0.90283,0.5414,0.91727
"475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52658,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68874,0.90283,0.54079,0.91727
"476",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52532,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68809,0.90283,0.54017,0.91727
"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52532,0.91324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68744,0.90283,0.53956,0.91727
"478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68679,0.90283,0.53895,0.91711
"479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68614,0.90283,0.53833,0.91711
"480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68549,0.90283,0.53772,0.91695
"481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68484,0.90283,0.53711,0.91695
"482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6842,0.90283,0.5365,0.91695
"483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68355,0.90283,0.53589,0.91695
"484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52391,0.91262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68291,0.90283,0.53528,0.91679
"485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.91262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68226,0.90283,0.53467,0.91664
"486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.91262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68162,0.90283,0.53407,0.91664
"487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.9123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68097,0.90283,0.53346,0.91648
"488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.9123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68033,0.90283,0.53286,0.91648
"489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.9123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67968,0.90283,0.53225,0.91632
"490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.9123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67904,0.90283,0.53165,0.91616
"491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6784,0.90283,0.53104,0.91584
"492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52236,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67776,0.90283,0.53044,0.91568
"493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52118,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67712,0.90283,0.52984,0.91568
"494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52118,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67648,0.90214,0.52923,0.91568
"495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.52118,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67584,0.90214,0.52863,0.91568
"496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5134,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6752,0.90214,0.52803,0.91568
"497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5134,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67456,0.90214,0.52743,0.91568
"498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67393,0.90214,0.52683,0.91568
"499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67329,0.90214,0.52624,0.91568
"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67265,0.90214,0.52564,0.91568
"501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67202,0.90214,0.52504,0.91568
"502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67138,0.90075,0.52444,0.91568
"503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67075,0.90075,0.52385,0.91568
"504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50956,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67012,0.90075,0.52325,0.91552
"505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50644,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66948,0.90075,0.52266,0.91552
"506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50644,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66885,0.90075,0.52207,0.91552
"507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50644,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66822,0.90075,0.52147,0.91552
"508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66759,0.90006,0.52088,0.91552
"509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66696,0.90006,0.52029,0.91552
"510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66633,0.90006,0.5197,0.91552
"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6657,0.90006,0.51911,0.91536
"512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66507,0.90006,0.51852,0.91536
"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66444,0.90006,0.51793,0.91536
"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50415,0.91168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66381,0.90006,0.51734,0.9152
"515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5034,0.91105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66318,0.90006,0.51675,0.91488
"516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5034,0.91105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66256,0.90006,0.51617,0.91472
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5034,0.91105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66193,0.90006,0.51558,0.91472
"518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5034,0.91074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66131,0.90006,0.515,0.9144
"519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.5034,0.91074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66068,0.90006,0.51441,0.9144
"520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66006,0.90006,0.51383,0.9144
"521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65943,0.90006,0.51324,0.9144
"522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65881,0.90006,0.51266,0.91408
"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65819,0.90006,0.51208,0.91392
"524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65757,0.90006,0.5115,0.91392
"525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50281,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65694,0.90006,0.51092,0.91392
"526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50035,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65632,0.89936,0.51034,0.91392
"527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76373,0.91921,0.50035,0.91043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6557,0.89936,0.50976,0.91392
