"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"22","RREGISTRATION YEAR=2007",0,-1.08747,0,0,0,0,0,0,1,0,0,0.99521,0.97411,0.96359,0.96284,"RREGISTRATION YEAR=2007",0,0.61526,0,0,0,0,0,0,1,0,0,0.9907,0.97028,0.96901,0.96427
"23","RREGISTRATION YEAR=2008",0,-0.21814,0,0,0,0,0,0,1,0,0,0.99521,0.97411,0.96197,0.96284,"RREGISTRATION YEAR=2008",0,0.61526,0,0,0,0,0,0,1,0,0,0.99026,0.96964,0.96756,0.96366
"24","RREGISTRATION YEAR=2009",0,-1.57024,0,0,0,0,0,0,1,0,0,0.99398,0.97411,0.961,0.96258,"RREGISTRATION YEAR=2009",0.39594,0.13433,0,0,0,0,0,0,1,0,0,0.98982,0.96964,0.96611,0.96321
"25","RREGISTRATION YEAR=2010",0.67265,-0.79202,0,0,0,0,0,0,1,0,0,0.99398,0.97411,0.95966,0.96258,"RREGISTRATION YEAR=2010",0.39594,0.13433,0,0,0,0,0,0,1,0,0,0.98938,0.96964,0.96466,0.96321
"26","RREGISTRATION YEAR=2011",0.94121,-0.75086,0,0,0,0,0,0,1,0,0,0.99398,0.97297,0.95796,0.96126,"RREGISTRATION YEAR=2011",0.39594,0.13433,0,0,0,0,0,0,1,0,0,0.98894,0.96899,0.96322,0.96216
"27","RREGISTRATION YEAR=2012",-0.33815,-0.39867,0,0,0,0,0,0,1,0,0,0.99398,0.97297,0.95665,0.96074,"RREGISTRATION YEAR=2012",0.39594,0.13433,0,0,0,0,0,0,1,0,0,0.9885,0.96899,0.96178,0.96171
"28","LN(RBILIRUBIN)*RSODIUM - MEAN(LN(RBILIRUBIN)*RSODIUM)",-0.07307,0.01237,0,0,426.70281,559.16797,0,0,1,1,0,0.99342,0.97183,0.9553,0.95994,"LN(RBILIRUBIN)*RSODIUM",-0.05871,-0.02305,0,0,426.70281,559.16797,0,0,1,1,0,0.98806,0.96835,0.96034,0.9611
"29","RDISEASE GROUP=2*LN(RBILIRUBIN)",0,-0.06944,0,0,0,0,0,0,1,0,1,0.99342,0.97183,0.95502,0.95942,"RDISEASE GROUP=2*LN(RBILIRUBIN)",0,-0.55059,0,0,0,0,0,0,1,0,1,0.98762,0.96835,0.9589,0.96065
"30","RDISEASE GROUP=4*LN(RBILIRUBIN)",0,-0.7486,0,0,0,0,0,0,1,0,1,0.99342,0.97183,0.95335,0.95915,"RDISEASE GROUP=4*LN(RBILIRUBIN)",0,-0.49068,0,0,0,0,0,0,1,0,1,0.98718,0.96835,0.95747,0.9605
"31","RDISEASE GROUP=5*LN(RBILIRUBIN)",0,0.37372,0,0,0,0,0,0,1,0,1,0.99342,0.97067,0.95132,0.95862,"RDISEASE GROUP=5*LN(RBILIRUBIN)",0,-0.26743,0,0,0,0,0,0,1,0,1,0.98674,0.96771,0.95604,0.96004
"32","RDISEASE GROUP=6*LN(RBILIRUBIN)",0,-0.60072,0,0,0,0,0,0,1,0,1,0.99342,0.97067,0.95,0.95862,"RDISEASE GROUP=6*LN(RBILIRUBIN)",0,-0.52945,0,0,0,0,0,0,1,0,1,0.98631,0.96771,0.95462,0.95974
"33","RDISEASE GROUP=7*LN(RBILIRUBIN)",0,0.37395,0,0,0,0,0,0,1,0,1,0.99342,0.97067,0.9485,0.95809,"RDISEASE GROUP=7*LN(RBILIRUBIN)",0,0.36426,0,0,0,0,0,0,1,0,1,0.98587,0.96771,0.9532,0.95929
"34","RDISEASE GROUP=8*LN(RBILIRUBIN)",0,-0.6418,0,0,0,0,0,0,1,0,1,0.99342,0.97067,0.94708,0.95703,"RDISEASE GROUP=8*LN(RBILIRUBIN)",0,-0.98936,0,0,0,0,0,0,1,0,1,0.98543,0.96771,0.9518,0.95853
"35","RDISEASE GROUP=9*LN(RBILIRUBIN)",0,-0.48573,0,0,0,0,0,0,1,0,1,0.99278,0.97067,0.94552,0.9565,"RDISEASE GROUP=9*LN(RBILIRUBIN)",0,-0.84588,0,0,0,0,0,0,1,0,1,0.98499,0.96771,0.95039,0.95808
"36","RDISEASE GROUP=10*LN(RBILIRUBIN)",0,-0.39128,0,0,0,0,0,0,1,0,1,0.99278,0.97067,0.94197,0.95623,"RDISEASE GROUP=10*LN(RBILIRUBIN)",0,-0.6389,0,0,0,0,0,0,1,0,1,0.98455,0.96771,0.94899,0.95778
"37","RAGE*LN(RCREATININE) - MEAN(RAGE*LN(RCREATININE))",0,0,-0.08481,0.02117,0,0,249.39181,226.25081,1,0,1,0.99278,0.97067,0.94053,0.95543,"RAGE*LN(RCREATININE)",0,0,0,0.01441,0,0,249.39181,226.25081,1,0,1,0.98412,0.96771,0.9476,0.95732
"38","RPREVIOUS ABDOMINAL SURGERY",0,0,0.05661,0.14433,0,0,0,0,1,0,0,0.99278,0.97067,0.93777,0.9549,"RPREVIOUS ABDOMINAL SURGERY",0,0,0,0.20217,0,0,0,0,1,0,0,0.98368,0.96771,0.94621,0.95687
"39","RENCEPHALOPATHY",0,0,0.45698,0.00928,0,0,0,0,1,0,0,0.99278,0.97067,0.93614,0.95383,"RENCEPHALOPATHY",0,0,0,0,0,0,0,0,1,0,0,0.98324,0.96771,0.94483,0.95611
"40","RASCITES",0,0,0.52255,0.02489,0,0,0,0,1,0,0,0.99213,0.97067,0.93366,0.9533,"RASCITES",0,0,0.28594,0,0,0,0,0,1,0,0,0.9828,0.96771,0.94345,0.9558
